time,seconds_elapsed,z,y,x
1718607420338609200,0.095609130859375,20.91374969482422,-49.51874923706055,-26.216249465942383
1718607420388893200,0.14589306640625,20.928749084472656,-49.48875045776367,-25.638750076293945
1718607420439235800,0.19623583984375,21,-49.12125015258789,-26.024999618530273
1718607420489544700,0.246544677734375,21.806249618530273,-49.6349983215332,-25.48499870300293
1718607420539865000,0.296864990234375,21.82124900817871,-49.19249725341797,-25.59000015258789
1718607420590191600,0.347191650390625,21.956249237060547,-48.82124710083008,-25.736249923706055
1718607420640486100,0.397486083984375,22.323749542236328,-48.48374938964844,-25.21500015258789
1718607420690810600,0.447810546875,22.252498626708984,-48.93000030517578,-24.869998931884766
1718607420741136600,0.49813671875,22.125,-49.147499084472656,-25.22624969482422
1718607420791449900,0.548449951171875,22.244998931884766,-49.244998931884766,-24.239999771118164
1718607420841789200,0.5987890625,22.57124900817871,-48.80249786376953,-24.16874885559082
1718607420892108300,0.6491083984375,22.462499618530273,-49.11750030517578,-23.98499870300293
1718607420942424000,0.699424072265625,22.350000381469727,-49.20375061035156,-23.842498779296875
1718607420992732200,0.749732177734375,22.40625,-48.98249816894531,-23.69624900817871
1718607421043057700,0.8000576171875,22.323749542236328,-49.10625076293945,-23.625
1718607421093364200,0.8503642578125,22.50749969482422,-49.064998626708984,-23.25749969482422
1718607421143663600,0.90066357421875,22.818750381469727,-49.334999084472656,-23.197500228881836
1718607421193992000,0.950991943359375,22.58625030517578,-48.88874816894531,-23.50874900817871
1718607421244310000,1.00131005859375,22.608749389648438,-48.307498931884766,-23.32874870300293
1718607421294609000,1.05160888671875,22.66499900817871,-48.90749740600586,-22.97249984741211
1718607421344939000,1.10193896484375,22.631250381469727,-48.783748626708984,-23.017499923706055
1718607421395257000,1.152257080078125,21.997499465942383,-48.9375,-23.208749771118164
1718607421445564700,1.202564697265625,22.173749923706055,-49.01250076293945,-23.456249237060547
1718607421495860500,1.252860595703125,22.188749313354492,-48.70499801635742,-22.736249923706055
1718607421546177000,1.303177001953125,22.12874984741211,-48.89249801635742,-22.8487491607666
1718607421596510700,1.3535107421875,22.818750381469727,-48.89999771118164,-22.66874885559082
1718607421646812700,1.403812744140625,22.151248931884766,-48.45750045776367,-22.556249618530273
1718607421697131500,1.454131591796875,21.74625015258789,-48.29249954223633,-23.13374900817871
1718607421747448600,1.504448486328125,22.139999389648438,-48.28499984741211,-22.87125015258789
1718607421797760300,1.55476025390625,22.091249465942383,-48.29624938964844,-22.751249313354492
1718607421848066000,1.605066162109375,21.9375,-48.55125045776367,-22.923749923706055
1718607421898352600,1.6553525390625,22.10624885559082,-48.693748474121094,-23.366249084472656
1718607421948663600,1.70566357421875,21.862499237060547,-48.42374801635742,-23.42624855041504
1718607421998962700,1.755962646484375,21.948749542236328,-48.25874710083008,-23.313749313354492
1718607422049289000,1.8062890625,22.079999923706055,-48.01499938964844,-23.89875030517578
1718607422099600600,1.8566005859375,22.334999084472656,-48.60749816894531,-23.782499313354492
1718607422149887700,1.9068876953125,21.524999618530273,-48.8849983215332,-24.131250381469727
1718607422200208600,1.957208740234375,21.28874969482422,-48.776248931884766,-24.029998779296875
1718607422250518000,2.00751806640625,21.131250381469727,-48.84375,-24.153749465942383
1718607422300826600,2.05782666015625,20.895000457763672,-48.90374755859375,-24.247499465942383
1718607422351120400,2.108120361328125,20.947500228881836,-48.592498779296875,-24.247499465942383
1718607422401451800,2.15845166015625,20.872499465942383,-49.01625061035156,-23.90250015258789
1718607422451764200,2.20876416015625,20.954999923706055,-48.85124969482422,-24.033748626708984
1718607422502063000,2.25906298828125,20.35124969482422,-48.404998779296875,-23.827499389648438
1718607422552397800,2.309397705078125,20.8125,-48.70499801635742,-23.80500030517578
1718607422602710000,2.3597099609375,21.16874885559082,-48.79499816894531,-22.796249389648438
1718607422653032400,2.410032470703125,20.89124870300293,-48.311248779296875,-22.526248931884766
1718607422703348000,2.460347900390625,20.98499870300293,-48,-22.076250076293945
1718607422753670400,2.51067041015625,20.684999465942383,-46.6875,-23.35124969482422
1718607422803996200,2.56099609375,21.674999237060547,-45.783748626708984,-23.53499984741211
1718607422854300700,2.61130078125,22.631250381469727,-46.1662483215332,-22.893749237060547
1718607422904647200,2.661647216796875,23.287500381469727,-46.342498779296875,-21.018749237060547
1718607422954945800,2.71194580078125,23.23499870300293,-47.092498779296875,-21.127498626708984
1718607423005262800,2.762262939453125,23.34375,-46.97999954223633,-20.298749923706055
1718607423055593200,2.81259326171875,23.1299991607666,-47.76749801635742,-19.083749771118164
1718607423105909000,2.862908935546875,22.901248931884766,-47.87624740600586,-18.63749885559082
1718607423156224800,2.913224853515625,22.78499984741211,-48.06374740600586,-17.688749313354492
1718607423206531000,2.963531005859375,22.421249389648438,-48.11249923706055,-16.725000381469727
1718607423256881400,3.01388134765625,22.091249465942383,-48.60749816894531,-16.079999923706055
1718607423307202000,3.0642021484375,21.5625,-49.18124771118164,-14.958749771118164
1718607423357504000,3.11450390625,21.014999389648438,-50.11499786376953,-14.051249504089355
1718607423407832600,3.16483251953125,20.662500381469727,-50.06624984741211,-13.559999465942383
1718607423458149600,3.215149658203125,20.707500457763672,-50.20874786376953,-13.244999885559082
1718607423508454700,3.26545458984375,21.213748931884766,-50.3849983215332,-13.297499656677246
1718607423558795300,3.315795166015625,21.584999084472656,-49.57875061035156,-13.398749351501465
1718607423609121300,3.366121337890625,22.934999465942383,-48.76874923706055,-13.87125015258789
1718607423659456500,3.41645654296875,23.81624984741211,-47.658748626708984,-14.516249656677246
