time,seconds_elapsed,z,y,x
1718607420338609200,0.095609130859375,-54.86750030517578,-24.50374984741211,-16.03999900817871
1718607420388893200,0.14589306640625,-54.85249710083008,-24.4737491607666,-15.462499618530273
1718607420439235800,0.19623583984375,-54.78125,-24.10624885559082,-15.848750114440918
1718607420489544700,0.246544677734375,-53.974998474121094,-24.619998931884766,-15.308749198913574
1718607420539865000,0.296864990234375,-53.959999084472656,-24.177499771118164,-15.413749694824219
1718607420590191600,0.347191650390625,-53.82499694824219,-23.806249618530273,-15.559999465942383
1718607420640486100,0.397486083984375,-53.45750045776367,-23.46875,-15.038749694824219
1718607420690810600,0.447810546875,-53.52874755859375,-23.91499900817871,-14.69374942779541
1718607420741136600,0.49813671875,-53.65625,-24.13249969482422,-15.049999237060547
1718607420791449900,0.548449951171875,-53.53624725341797,-24.229999542236328,-14.063749313354492
1718607420841789200,0.5987890625,-53.209999084472656,-23.787500381469727,-13.992499351501465
1718607420892108300,0.6491083984375,-53.318748474121094,-24.10249900817871,-13.80875015258789
1718607420942424000,0.699424072265625,-53.43124771118164,-24.188749313354492,-13.66624927520752
1718607420992732200,0.749732177734375,-53.375,-23.967498779296875,-13.519999504089355
1718607421043057700,0.8000576171875,-53.45750045776367,-24.091249465942383,-13.448749542236328
1718607421093364200,0.8503642578125,-53.27375030517578,-24.049999237060547,-13.081249237060547
1718607421143663600,0.90066357421875,-52.96249771118164,-24.31999969482422,-13.021249771118164
1718607421193992000,0.950991943359375,-53.19499969482422,-23.873748779296875,-13.332499504089355
1718607421244310000,1.00131005859375,-53.17250061035156,-23.292499542236328,-13.15250015258789
1718607421294609000,1.05160888671875,-53.116249084472656,-23.892499923706055,-12.796249389648438
1718607421344939000,1.10193896484375,-53.14999771118164,-23.768749237060547,-12.841249465942383
1718607421395257000,1.152257080078125,-53.783748626708984,-23.92249870300293,-13.032499313354492
1718607421445564700,1.202564697265625,-53.60749816894531,-23.997499465942383,-13.279999732971191
1718607421495860500,1.252860595703125,-53.592498779296875,-23.689998626708984,-12.559999465942383
1718607421546177000,1.303177001953125,-53.65250015258789,-23.877498626708984,-12.672499656677246
1718607421596510700,1.3535107421875,-52.96249771118164,-23.885000228881836,-12.492499351501465
1718607421646812700,1.403812744140625,-53.62999725341797,-23.4424991607666,-12.380000114440918
1718607421697131500,1.454131591796875,-54.03499984741211,-23.27750015258789,-12.957499504089355
1718607421747448600,1.504448486328125,-53.64125061035156,-23.26999855041504,-12.694999694824219
1718607421797760300,1.55476025390625,-53.689998626708984,-23.28125,-12.574999809265137
1718607421848066000,1.605066162109375,-53.84375,-23.5362491607666,-12.747499465942383
1718607421898352600,1.6553525390625,-53.67499923706055,-23.678749084472656,-13.1899995803833
1718607421948663600,1.70566357421875,-53.91874694824219,-23.408748626708984,-13.25
1718607421998962700,1.755962646484375,-53.83250045776367,-23.243749618530273,-13.137499809265137
1718607422049289000,1.8062890625,-53.70124816894531,-23,-13.72249984741211
1718607422099600600,1.8566005859375,-53.44624710083008,-23.592498779296875,-13.606249809265137
1718607422149887700,1.9068876953125,-54.256248474121094,-23.869998931884766,-13.954999923706055
1718607422200208600,1.957208740234375,-54.49250030517578,-23.761249542236328,-13.85374927520752
1718607422250518000,2.00751806640625,-54.64999771118164,-23.82874870300293,-13.977499961853027
1718607422300826600,2.05782666015625,-54.88624954223633,-23.888750076293945,-14.071249961853027
1718607422351120400,2.108120361328125,-54.83374786376953,-23.577499389648438,-14.071249961853027
1718607422401451800,2.15845166015625,-54.908748626708984,-24.001249313354492,-13.726249694824219
1718607422451764200,2.20876416015625,-54.82624816894531,-23.83625030517578,-13.857500076293945
1718607422502063000,2.25906298828125,-55.43000030517578,-23.389999389648438,-13.651249885559082
1718607422552397800,2.309397705078125,-54.96875,-23.689998626708984,-13.62874984741211
1718607422602710000,2.3597099609375,-54.61249923706055,-23.779998779296875,-12.619999885559082
1718607422653032400,2.410032470703125,-54.88999938964844,-23.296249389648438,-12.34999942779541
1718607422703348000,2.460347900390625,-54.79624938964844,-22.98499870300293,-11.899999618530273
1718607422753670400,2.51067041015625,-55.096248626708984,-21.67249870300293,-13.174999237060547
1718607422803996200,2.56099609375,-54.10624694824219,-20.768749237060547,-13.358749389648438
1718607422854300700,2.61130078125,-53.14999771118164,-21.151248931884766,-12.717499732971191
1718607422904647200,2.661647216796875,-52.49374771118164,-21.327499389648438,-10.842499732971191
1718607422954945800,2.71194580078125,-52.54624938964844,-22.077499389648438,-10.951250076293945
1718607423005262800,2.762262939453125,-52.4375,-21.96500015258789,-10.122499465942383
1718607423055593200,2.81259326171875,-52.651248931884766,-22.752498626708984,-8.907500267028809
1718607423105909000,2.862908935546875,-52.87999725341797,-22.861249923706055,-8.461249351501465
1718607423156224800,2.913224853515625,-52.99625015258789,-23.048749923706055,-7.512499809265137
1718607423206531000,2.963531005859375,-53.36000061035156,-23.09749984741211,-6.548749923706055
1718607423256881400,3.01388134765625,-53.689998626708984,-23.592498779296875,-5.903749942779541
1718607423307202000,3.0642021484375,-54.21875,-24.166250228881836,-4.78249979019165
1718607423357504000,3.11450390625,-54.76625061035156,-25.100000381469727,-3.875
1718607423407832600,3.16483251953125,-55.11874771118164,-25.05124855041504,-3.3837499618530273
1718607423458149600,3.215149658203125,-55.07374954223633,-25.193750381469727,-3.0687499046325684
1718607423508454700,3.26545458984375,-54.56749725341797,-25.369998931884766,-3.1212499141693115
1718607423558795300,3.315795166015625,-54.19624710083008,-24.563749313354492,-3.2224998474121094
1718607423609121300,3.366121337890625,-52.846248626708984,-23.75374984741211,-3.694999933242798
1718607423659456500,3.41645654296875,-51.96500015258789,-22.643749237060547,-4.339999675750732
1718607423785688000,3.54268798828125,-52.20124816894531,-22.416250228881836,-2.076249837875366
1718607423835688200,3.592688232421875,-52.84874725341797,-23.261249542236328,-0.8624999523162842
1718607423885688000,3.64268798828125,-54.443748474121094,-24.05500030517578,-0.3062500059604645
1718607423935688200,3.692688232421875,-54.43124771118164,-23.994998931884766,0.1574999988079071
1718607423985688000,3.74268798828125,-52.98500061035156,-23.529998779296875,-0.29749998450279236
1718607424035688200,3.792688232421875,-51.682498931884766,-22.0987491607666,-0.7762500047683716
1718607424085688000,3.84268798828125,-52.28125,-21.182498931884766,-0.3375000059604645
1718607424135688200,3.892688232421875,-53.38624954223633,-22.041250228881836,0.9962499737739563
1718607424185688000,3.94268798828125,-54.553749084472656,-23.08625030517578,2.2674999237060547
1718607424235688200,3.992688232421875,-53.623748779296875,-23.053749084472656,1.7837499380111694
1718607424285688000,4.04268798828125,-52.73249816894531,-21.813749313354492,1.1399999856948853
1718607424335688200,4.092688232421875,-53.09499740600586,-21.208749771118164,2.607499837875366
1718607424385688000,4.14268798828125,-54.08250045776367,-22.9375,4.638750076293945
1718607424435688200,4.192688232421875,-53.724998474121094,-22.385000228881836,4.273749828338623
1718607424485688000,4.24268798828125,-52.23875045776367,-21.10999870300293,3.572499990463257
1718607424535688200,4.292688232421875,-53.98374938964844,-22.125,5.328749656677246
1718607424585688000,4.34268798828125,-54.42250061035156,-21.582500457763672,5.762499809265137
1718607424635688200,4.392688232421875,-53.89374923706055,-20.688749313354492,5.366250038146973
1718607424685688000,4.44268798828125,-55.41124725341797,-21.561248779296875,6.873749732971191
1718607424735688200,4.492688232421875,-55.45874786376953,-21.32124900817871,7.287499904632568
1718607424785688000,4.54268798828125,-55.276248931884766,-20.708749771118164,7.622499942779541
1718607424835688200,4.592688232421875,-56.248748779296875,-21.573749542236328,8.65625
1718607424885688000,4.64268798828125,-55.76625061035156,-20.44499969482422,7.916249752044678
1718607424935688200,4.692688232421875,-57.45499801635742,-20.791250228881836,9.423749923706055
1718607424985688000,4.74268798828125,-56.27499771118164,-21.303749084472656,9.353750228881836
1718607425035688200,4.792688232421875,-57.97374725341797,-21.78499984741211,9.889999389648438
1718607425085688000,4.84268798828125,-58.252498626708984,-22.292499542236328,10.25374984741211
